E_demon;T;<m>;slope
1480;2.27674;0.300511;-0.439225
1488;2.35226;0.555653;-0.425123
1496;2.29002;-0.106033;-0.436678
1504;2.33262;0.278366;-0.428703
1512;2.34073;0.263235;-0.427217
1520;2.31689;0.504316;-0.431613
1528;2.30686;0.227842;-0.43349
1536;2.28795;0.49998;-0.437073
1544;2.28665;-0.327804;-0.43732
1552;2.2666;0.296707;-0.441189
1560;2.27901;0.48317;-0.438788
1568;2.35517;0.466474;-0.424597
1576;2.37499;0.544528;-0.421054
1584;2.33665;0.49747;-0.427963
1592;2.28884;-0.0341686;-0.436903
